location,Базель,Базель,Базель,Базель
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Базель Temperature [2 m elevation corrected],Базель Relative Humidity [2 m],Базель Wind Speed [10 m],Базель Wind Direction [10 m]
20220110T0300,0.67052865,95.0,13.358861,345.96375
20220110T0400,0.37052867,95.0,11.503113,339.8637
20220110T0500,0.9605287,93.0,10.703569,340.3462
20220110T0600,1.0505286,93.0,10.30883,335.22485
20220110T0700,0.99052864,94.0,8.435069,320.19443
20220110T0800,0.9605287,94.0,6.638072,310.60132
20220110T0900,1.1205287,93.0,7.145796,310.91437
20220110T1000,1.6905286,92.0,7.928177,320.52753
20220110T1100,2.2805285,88.0,10.00256,329.7436
20220110T1200,2.6505284,83.0,11.435313,331.8214
20220110T1300,3.4805286,82.0,9.0645685,353.15723
20220110T1400,4.3405285,76.0,6.638072,12.528809
20220110T1500,4.7305284,71.0,5.3517847,42.27368
20220110T1600,4.8205285,67.0,5.692099,55.304832
20220110T1700,4.3905287,67.0,6.3690495,42.70938
20220110T1800,3.0205286,74.0,9.346143,74.35776
20220110T1900,0.8805287,83.0,7.2359104,95.71059
20220110T2000,0.18052867,85.0,4.5536795,108.434944
20220110T2100,-0.36947134,86.0,3.4152596,108.434944
20220110T2200,-0.59947133,85.0,3.8773184,111.80141
20220110T2300,-0.6794713,85.0,3.4152596,108.434944
20220111T0000,-0.7994713,87.0,3.6,89.99999
20220111T0100,-0.96947134,87.0,3.0758414,69.443954
20220111T0200,-0.94947135,85.0,0.8049845,26.565033
20220111T0300,-1.1194713,84.0,1.4399999,360.0
20220111T0400,-1.2594713,84.0,3.0758414,339.44397
20220111T0500,-1.2994714,83.0,2.5959969,326.30994
20220111T0600,-1.4794713,85.0,3.319036,310.60132
20220111T0700,-1.7494713,86.0,4.0249224,296.56506
20220111T0800,-2.1494715,89.0,5.904439,307.5686
20220111T0900,-2.1394715,89.0,6.638072,310.60132
20220111T1000,-0.7394713,83.0,2.9024127,330.25513
20220111T1100,0.81052864,78.0,4.3349743,4.7636414
20220111T1200,1.4905287,77.0,7.208994,2.8624115
20220111T1300,3.9605286,66.0,17.414474,60.25511
20220111T1400,4.5305285,63.0,16.1198,66.29735
20220111T1500,4.8605285,60.0,16.516901,73.53998
20220111T1600,4.3205285,64.0,14.494192,75.61861
20220111T1700,3.0005286,70.0,10.829958,68.55225
20220111T1800,1.3605287,77.0,9.693296,58.671295
20220111T1900,-0.21947134,80.0,7.4128532,60.945396
20220111T2000,-0.87947136,81.0,5.315336,61.699234
20220111T2100,-1.0294713,81.0,4.379589,80.537674
20220111T2200,-1.0994713,80.0,3.8773184,68.19859
20220111T2300,-1.2794713,79.0,3.563818,44.999985
20220112T0000,-1.6094713,77.0,5.1165614,50.7106
20220112T0100,-1.9394714,74.0,5.3999996,53.130096
20220112T0200,-2.2394714,73.0,4.8433046,48.01277
20220112T0300,-2.6194715,75.0,5.8603754,42.510437
20220112T0400,-2.9994714,72.0,5.3517847,47.726303
20220112T0500,-3.2294714,73.0,4.3349743,48.366455
20220112T0600,-3.7694714,75.0,4.510787,28.610443
20220112T0700,-4.2394714,79.0,3.0758414,20.556046
20220112T0800,-4.5394716,83.0,2.0364676,44.999985
20220112T0900,-4.4494715,82.0,1.609969,26.565033
20220112T1000,-3.6894715,73.0,2.8116899,320.19443
20220112T1100,-2.6594715,71.0,4.39436,325.008
20220112T1200,-1.7294713,72.0,6.763786,334.7989
20220112T1300,3.2905285,57.0,10.24578,18.434952
20220112T1400,2.3905284,66.0,8.350138,352.5686
20220112T1500,2.3605285,69.0,3.2399998,360.0
20220112T1600,2.3605285,73.0,2.9024127,352.875
20220112T1700,2.1905286,73.0,5.815978,338.1986
20220112T1800,0.66052866,82.0,5.0528407,355.91437
20220112T1900,-0.7894713,92.0,3.7064266,29.05458
20220112T2000,-1.4094714,88.0,4.0249224,63.43495
20220112T2100,-1.6294713,82.0,2.8799999,89.99999
20220112T2200,-1.7494713,83.0,4.3498964,65.55604
20220112T2300,-1.9294714,87.0,3.0758414,69.443954
20220113T0000,-1.9594713,87.0,1.8,89.99999
20220113T0100,-1.9294714,83.0,2.9024127,82.874985
20220113T0200,-2.0394714,76.0,3.6179552,95.71059
20220113T0300,-2.3194714,72.0,4.3349743,94.76365
20220113T0400,-2.6794715,70.0,3.6179552,95.71059
20220113T0500,-2.8494716,70.0,3.2399998,89.99999
20220113T0600,-3.0794713,72.0,2.6208394,74.054596
20220113T0700,-3.3494716,76.0,2.16,360.0
20220113T0800,-3.7494714,80.0,2.6208394,344.0546
20220113T0900,-3.6394715,81.0,2.7416782,336.8014
20220113T1000,-2.7694714,79.0,3.396233,302.00537
20220113T1100,-1.7094713,76.0,4.198285,329.03625
20220113T1200,-0.70947134,75.0,5.2416787,344.0546
20220113T1300,2.7705286,62.0,6.162207,6.7098236
20220113T1400,3.2605286,67.0,5.7599998,360.0
20220113T1500,3.6805286,69.0,5.04,360.0
20220113T1600,3.7305286,72.0,4.0249224,349.69516
20220113T1700,3.2505286,70.0,5.3999996,323.13013
20220113T1800,2.1605287,71.0,4.0249224,333.43497
20220113T1900,1.3405286,73.0,1.835647,348.69006
20220113T2000,1.0105287,75.0,2.16,270.0
20220113T2100,0.8205287,78.0,2.52,270.0
20220113T2200,0.5705287,80.0,1.4399999,270.0
20220113T2300,0.5705287,79.0,0.35999998,270.0
20220114T0000,0.45052865,79.0,0.35999998,180.0
20220114T0100,0.36052868,78.0,2.3051248,128.6598
20220114T0200,0.23052865,78.0,3.9763298,84.805565
20220114T0300,-0.45947134,81.0,4.3349743,85.23635
20220114T0400,-0.9894713,84.0,5.1544156,102.09476
20220114T0500,-1.1794714,86.0,3.8939953,123.69006
20220114T0600,-1.1194713,86.0,2.9024127,119.74488
20220114T0700,-1.1294713,86.0,2.0991426,120.96376
20220114T0800,-1.2594713,86.0,1.835647,101.30993
20220114T0900,-0.7994713,82.0,1.1384199,108.434944
